CTV3ID,CTV3PreferredTermDesc,CTV3Source
Y70ET,Juvenile ankylosing spondylitis,CTV3Map_Code_And_Term
Y70EU,Juvenile AS - ankylosing spondylitis,CTV3Map_Code_And_Term
Y70Ef,Ankylosing spondylitis,CTV3Map_Code_And_Term
Y70Eh,Idiopathic ankylosing spondylitis,CTV3Map_Code_And_Term
Y70Ei,AS - Ankylosing spondylitis,CTV3Map_Code_And_Term
Y70Ej,Ankylosing spondylitis with organ / system involvement,CTV3Map_Code_And_Term
Y70Ek,Ankylosing spondylitis with multisystem involvement,CTV3Map_Code_And_Term
Y70qg,Ankylosing vertebral hyperostosis,CTV3Map_Code_And_Term
YMKxe,Spondylitis -ankylosing,CTV3Map_Code_And_Term
YaaZ4,AS - Juvenile ankylosing spondylitis,CTV3Map_Code_And_Term
YaxFh,Axial spondyloarthritis,CTV3Map_Code_And_Term
Y70EZ,Seronegative arthritis,CTV3Map_Code_And_Term
