CTV3ID,CTV3PreferredTermDesc,CTV3Source
M07y0,Acute palmoplantar pustular psoriasis,CTV3_Children
M143.,[Pustular psoriasis] or [impetigo herpetiformis],High_Level_SNOMED
M16..,Psoriasis and similar disorders,CTV3Map_Code_And_Term
M161.,Other psoriasis,CTV3Map_Code_And_Term
M1610,Psoriasis unspecified,CTV3Map_Code_And_Term
M1611,Psoriasis annularis,CTV3Map_Code_And_Term
M1612,Psoriasis circinata,CTV3Map_Code_And_Term
M1613,Psoriasis diffusa,CTV3Map_Code_And_Term
M1614,Plaque psoriasis,CTV3Map_Code_And_Term
M1615,Psoriasis geographica,CTV3Map_Code_And_Term
M1616,Guttate psoriasis,CTV3Map_Code_And_Term
M1617,Psoriasis gyrata,CTV3Map_Code_And_Term
M1618,Psoriasis inveterata,CTV3Map_Code_And_Term
M1619,Rupioid psoriasis,CTV3Map_Code_And_Term
M161A,Psoriasis palmaris,CTV3Map_Code_And_Term
M161B,Psoriasis plantaris,CTV3Map_Code_And_Term
M161C,Psoriasis punctata,CTV3Map_Code_And_Term
M161D,[Pustular psoriasis] or [impetigo herpetiformis],High_Level_SNOMED
M161E,Psoriasis universalis,CTV3Map_Code_And_Term
M161F,Psoriasis vulgaris & (Chronic large plaque psoriasis),CTV3_Children
M161z,Psoriasis NOS,CTV3Map_Code_And_Term
M16y.,Other psoriasis and similar disorders,CTV3Map_Code_And_Term
M16z.,Psoriasis and similar disorders NOS,CTV3Map_Code_And_Term
Myu30,[X]Other psoriasis,CTV3Map_Code_And_Term
X506Y,Psoriasis,High_Level_SNOMED
X506Z,Flexural psoriasis,CTV3Map_Code_And_Term
X506a,Unstable psoriasis,High_Level_SNOMED
X506b,Erythrodermic psoriasis,CTV3Map_Code_And_Term
X506c,Psoriasis-eczema overlap condition,High_Level_SNOMED
X506d,Eczematised psoriasis,High_Level_SNOMED
X506e,Psoriasis of nail,High_Level_SNOMED
X506f,Psoriatic nail dystrophy,High_Level_SNOMED
X506g,Psoriatic nail pitting,High_Level_SNOMED
X506i,Scalp psoriasis,CTV3Map_Code_And_Term
X506k,Koebner psoriasis,High_Level_SNOMED
X506l,Localised pustular psoriasis,CTV3_Children
X506m,Palmoplantar pustular psoriasis,CTV3Map_Code_And_Term
X506o,Lapiere type of psoriasis,CTV3_Children
X506p,Generalised pustular psoriasis,CTV3_Children
X506q,Acute generalised pustular psoriasis,CTV3_Children
X506r,Generalised pustular psoriasis of pregnancy,CTV3_Children
X506s,Pustular psoriasis in children,CTV3_Children
X506t,Juvenile pustular psoriasis,CTV3_Children
X506u,Infantile pustular psoriasis,CTV3_Children
X506v,Circinate and annular pustular psoriasis,CTV3_Children
XE1CQ,(Psoriasis NOS) or (guttate psoriasis) or (parapsoriasis),High_Level_SNOMED
XaNXa,Chronic large plaque psoriasis,CTV3Map_Code_And_Term
XaNXa,Chronic large plaque psoriasis,CTV3Map_Code_Only
XaNXt,Psoriasis vulgaris,CTV3Map_Code_And_Term
XaNXt,Psoriasis vulgaris,CTV3Map_Code_Only
XaYOx,Pustular psoriasis,CTV3Map_Code_And_Term
