olddrugname,cleandrugname
 ranibizumab lucentis 10 mg in 1ml injection,VEGF
 tocilizumab (roactemra) 478mg sodium chloride 0.9% bp ,IL6
(hca) abatacept 125mg/1ml injection (p/f syringe) (1),abatacept
(hca) adalimumab 40mg/0.8ml pre filled pen (imraldi) (2),adalimumab
(hca) certolizumab pegol 200mg/1ml injection,certolizumab
(hca) etanercept 50mg pre-filled syringe (4),etanercept
(hca) etanercept 50mg/1ml pre filled pen (4),etanercept
(hca) etanercept 50mg/1ml pre filled syringe (4),etanercept
(hca)ustekinumab 45mg/0.5ml injection(prefilled syringe),ustekinumab
(home) adalimumab,adalimumab
(home) golimumab,golimumab
(home) humira (adalimumab),adalimumab
(home) imraldi (adalimumab),adalimumab
(home) tocilizumab,IL6
(home) ustekinumab,ustekinumab
(homecare (benepali) 4022265),etanercept
`rituximab (truxima)^ less than 700 mg intravenous,B cell
`rituximab (truxima)^ less than 800 mg intravenous,B cell
`rituximab^ 1400 mg in 11.7ml sub-cutaneous inject,B cell
abatacept,abatacept
abatacept,abatacept
abatacept,abatacept
abatacept - orencia (homecare),abatacept
abatacept  250mg powder for concentrate for solution for infusion,abatacept
abatacept $ homecare pen,abatacept
abatacept $ homecare syringe,abatacept
abatacept $ pen *homecare*,abatacept
abatacept $ syringe *homecare*,abatacept
abatacept (),abatacept
abatacept (home delivery),abatacept
abatacept (home delivery) (g-s),abatacept
abatacept (home delivery) 125 mg pre-filled syringe,abatacept
abatacept (home) 125 mg injection,abatacept
abatacept (homecare pen pack),abatacept
abatacept (homecare),abatacept
abatacept (homecare) 125 mg pre-filled pen,abatacept
abatacept (homecare) 125 mg subcutaneous injection,abatacept
abatacept (orencia click ject) [homecare] (rheumatology) 125 mg prefilled pen,abatacept
abatacept (orencia sc) [homecare] (rheumatology) 125 mg prefilled syringe,abatacept
abatacept (orencia) 125 mg pre-filled syringe,abatacept
abatacept (orencia) 250 mg injection,abatacept
abatacept (orencia)_(homecare) 125 mg pre-filled injection pen,abatacept
abatacept (orencia)_(homecare) 125 mg pre-filled syringe,abatacept
abatacept [:s/c],abatacept
abatacept 125 mg pre filled syringe,abatacept
abatacept 125mg click pens homecare,abatacept
abatacept 125mg pen homecare,abatacept
abatacept 125mg syringe,abatacept
abatacept 125mg/1ml clickject pen,abatacept
abatacept 125mg/1ml pre-filled pen(homecare),abatacept
abatacept 125mg/1ml prefilled syringe (4 pfs)(homecare),abatacept
abatacept 125mg/1ml solution for injection pre-filled disposable devices,abatacept
abatacept 125mg/1ml solution for injection pre-filled disposable devices,abatacept
abatacept 125mg/1ml solution for injection pre-filled syringes,abatacept
abatacept 125mg/1ml solution for injection pre-filled syringes,abatacept
abatacept 250 mg injection,abatacept
abatacept 250 mg intravenous infusion,abatacept
abatacept 250 mg powder for soln for infusion,abatacept
abatacept 250mg injection,abatacept
abatacept 250mg injection (1)                           ,abatacept
abatacept 250mg injection (orencia),abatacept
abatacept 250mg powder for solution for infusion vials,abatacept
abatacept 250mg powder for solution for infusion vials,abatacept
abatacept 250mg powder for solution for infusion vials 1 vial,abatacept
abatacept homecare 125 mg injection 1 vial pack,abatacept
abatacept in sodium chloride 0.9% formula,abatacept
abatacept s/c  (homecare),abatacept
abatacept s/c (homecare),abatacept
abatacept!125mg/1ml!prefilled syringe (4 pfs)(homecare) ,abatacept
abatacept!250mg!injection,abatacept
abatacept!250mg!injection (1),abatacept
abatacept_hc,abatacept
adalimumab,adalimumab
adalimumab,adalimumab
adalimumab - amgevita (homecare),adalimumab
adalimumab - biosmilar,adalimumab
adalimumab - homecare 40 mg pen,adalimumab
adalimumab - homecare delivery,adalimumab
adalimumab - humira  ,adalimumab
adalimumab - humira  (homecare),adalimumab
adalimumab - humira (homecare),adalimumab
adalimumab - humira pen 80mg/0.8ml    20013015,adalimumab
adalimumab - imraldi,adalimumab
adalimumab - imraldi ,adalimumab
adalimumab - imraldi (homecare- hidr. supp. indication only),adalimumab
