CTV3ID,CTV3PreferredTermDesc,CTV3Source
XE2QL,Crohn's disease,CTV3Map_Code_And_Term
Xa0lh,Regional enteritis,CTV3Map_Code_And_Term
X302r,Crohn's jejunitis,CTV3Map_Code_And_Term
X302t,Crohn's ileitis,CTV3Map_Code_And_Term
J4003,Crohn's disease of the ileum unspecified,CTV3Map_Code_And_Term
J4004,Crohn's disease of the ileum NOS,CTV3Map_Code_And_Term
J4002,Crohn's disease of terminal ileum,CTV3Map_Code_And_Term
J400.,Regional enteritis of small bowel,CTV3Map_Code_And_Term
XaK6C,Exacerbation of Crohn's disease of small intestine,CTV3Map_Code_And_Term
J400z,Crohn's disease of the small bowel NOS,CTV3Map_Code_And_Term
J401.,Regional enteritis of the large bowel,CTV3Map_Code_And_Term
XE0af,Crohn's disease of the large bowel NOS,CTV3Map_Code_And_Term
XaK6D,Exacerbation of Crohn's disease of large intestine,CTV3Map_Code_And_Term
J401z,(Crohn's colitis) or (Crohn's disease of the large bowel NOS),CTV3Map_Code_And_Term
J40z.,Regional enteritis NOS,CTV3Map_Code_And_Term
J4010,Crohn's colitis,CTV3Map_Code_And_Term
J4011,Crohn's proctitis,CTV3Map_Code_And_Term
X3050,Perianal Crohn's disease,CTV3Map_Code_And_Term
J402.,Regional ileocolitis,CTV3Map_Code_And_Term
Jyu40,[X]Other Crohn's disease,CTV3Map_Code_And_Term
XE0cZ,Crohn's disease (& [regional enteritis]),CTV3Map_Code_And_Term
X300J,Crohn's disease of oesophagus,CTV3Map_Code_And_Term
J4000,Crohn's disease of duodenum,CTV3Map_Code_And_Term
X301b,Crohn's disease of stomach,CTV3Map_Code_And_Term
